code_station,libelle_station
U343432001,Le Solnan à Verjon [Village]
U343434001,Le Solnan à Domsure
U344502001,Le Sevron à Bény
U400000101,La Reyssouze [Source] à Journans
U401401001,La Reyssouze à Montagnat
U401402001,La Reyssouze à Bourg-en-Bresse [Majornas]
U401402101,La Reyssouze à Bourg-en-Bresse [Baudières]
U402000101,Le Jugnon à Viriat [Bretonière]
U403000201,La Reyssouze à Montrevel-en-Bresse [TEST INTEGRATION AQUASYS]
U403000301,La Reyssouze à Cras-sur-Reyssouze [Digue des Puthods]
U405401001,La Reyssouze à Saint-Julien-sur-Reyssouze
U405401102,La Reyssouze à Pont-de-Vaux [Barrage des aiguilles] - Aval
U420401001,La Veyle à Lent
U421601001,Le Vieux Jonc à Buellas [Corgenon]
U423402001,La Veyle à Biziat [gourt des parties] - Aval
U423501001,Le Renon à Neuville-les-Dames
U440501001,La Chalaronne à Villars-les-Dombes
U440502001,La Chalaronne à Châtillon-sur-Chalaronne
U470001001,La Saône à Trévoux
V041501001,L'Allondon à Saint-Genis-Pouilly
V041504001,L'Allondon à Échenevex [Naz-Dessous]
V100001001,Le Rhône à Pougny - CNR
V100001002,Le Rhône à Pougny - DREAL Rhône Alpes
V101501001,La Valserine à Lélex [Niaizet]
V101503001,La Valserine à Chézery-Forens [Chézery]
V101503003,La Valserine à Chézery-Forens [Chézery] - Station vitesse
V101581001,La Semine à Châtillon-en-Michaille [Coz]
V101582001,La Semine à Saint-Germain-de-Joux [Les Marionnettes]
V101582501,La Valserine à Lancrans [Le Viret]
V102002001,Le Rhône à Surjoux
V102002002,Le Rhône à Surjoux - Bognes CNR
V113000101,Le Rhône à Corbonod [Seyssel-CNR]
V113000102,Le Rhône à Corbonod [Seyssel-CNR] - DREAL
V126402401,Le Rhône à Anglefort [Entrant Chautagne]
V141401001,Le Séran à Belmont-Luthézieu [Bavosière]
V142501001,Le Groin à Artemare [Cerveyrieu]
V143000301,Le Séran à Ceyzérieu
V143000401,Le ruisseau de Farillieu à Magnieu
V143000501,Le Séran à Talissieu
V144002001,La dérivation de Belley à Brens - CNR
V144002002,La dérivation de Belley à Brens - DREAL
V144621301,[L'Ousson] à Belley
V145431002,Le Furans à Pugieu [Pont du Martinet]
V145431201,L'Arène à Chazey-Bons
V145431301,Le Furans à Rossillon
V145431401,Le Furans à Rossillon
V145431501,[Source des Hotteaux] à Rossillon
V145431601,[Source des Hotteaux] à Rossillon
V145431701,[Source des Hotteaux] à Rossillon
V145431801,Le ruisseau Pointay à Rossillon
V146431001,Le Furans à Arbignieu [Pont de Peyzieu]
V146431101,Le Furans à Chazey-Bons
V161000401,Le Gland à Prémeyzel
V163002001,Le Rhône à Lagnieu - CNR
V163002002,Le Rhône à Lagnieu - DREAL Rhône Alpes
V244403201,[La Source Bleue] à Dortan
V251501002,L'Oignin à Maillat [Pontet]
V271201001,L'Ain à Pont-d'Ain
V281403001,Le Suran à Pont-d'Ain
V281404001,Le Suran à Germagnat [Lasserra]
V292401001,L'Albarine à Saint-Rambert-en-Bugey
V293401001,L'Albarine à Saint-Denis-en-Bugey [Pont Saint Denis]
V294201001,L'Ain à Chazey-sur-Ain
V294521001,La Toison à Rignieux-le-Franc
V300561001,La Sereine à Montluel
F619000101,Le Surmelin à Saint-Eugène
F620000201,La Marne à Château-Thierry
H001000301,Le Petit Gland à Any-Martin-Rieux - Hauteur du petit Gland
H002001101,L'Oise à Étréaupont - Hauteur de l'Oise a Etréaupont
H003000201,Le Ton à Étréaupont - hauteur du Ton à Etréaupont
H004000101,L'Oise à Guise - hauteur de l'Oise a Guise
H004000201,L'Oise à Proisy - barrage de Proisy
H005000101,Le Noirrieu à la Neuville-lès-Dorengt
H010002201,La Serre à Chaourse - hauteur de la Serre
H010002301,La Serre à Montigny-sous-Marle - Barrage de Montigny sous Marle
H011001201,Le Vilpion à Thiernu
H012000201,La Brune à Hary - Hauteur de la Brune
H013000101,Le Vilpion à Marle - Hauteur du Vilpion
H143000201,Le ruisseau de Fayau à Aizelles - Hauteur du Fayau dans le camping du moulin
