code_station,long,lat,nb_val,riviere,commune,moyenne,ecart_type,mini,maxi,0.05,0.25,mediane,0.75,0.95,departement,station
L001061001,2.007497176,45.702043362,24855.0,la Vienne,Peyrelevade,1.7,1.8,0.0,35.0,0.2,0.6,1.2,2.3,5.1,19 - Corrèze,la Vienne à Peyrelevade
P018000101,2.499058088,45.413000848,26298.0,La Dordogne,Bort-Les-Orgues,22.6,23.3,0.3,335.0,2.8,7.1,15.5,29.6,66.0,19 - Corrèze,La Dordogne à Bort-Les-Orgues
P071401001,2.26336731,45.584300721,22650.0,La Diège,Chaveroche,4.7,4.1,0.3,79.0,0.9,1.9,3.5,6.2,12.5,19 - Corrèze,La Diège à Chaveroche
P092401001,2.239467646,45.491325759,22021.0,La Triouzoune,Saint-Angel,1.7,1.7,0.0,14.7,0.2,0.5,1.2,2.4,5.0,19 - Corrèze,La Triouzoune à Saint-Angel
P115000101,2.130312496,45.381503012,22523.0,La Luzège,Lamaziere-Basse,6.5,7.1,0.0,105.0,0.6,1.8,4.3,8.5,19.9,19 - Corrèze,La Luzège à Lamaziere-Basse
P122000101,2.011047093,45.151239486,17858.0,La Dordogne,Servieres-Le-Chateau,93.8,97.2,0.0,991.0,2.7,18.5,62.4,140.0,289.0,19 - Corrèze,La Dordogne à Servieres-Le-Chateau
P135001001,1.942428219,45.092441483,24114.0,La Dordogne,Argentat-Sur-Dordogne,102.5,96.0,1.2,1150.0,11.0,31.3,71.5,146.0,288.0,19 - Corrèze,La Dordogne à Argentat-Sur-Dordogne
P159251001,1.946271799,45.083437105,27188.0,La Maronne,Argentat-Sur-Dordogne,19.5,21.1,0.1,263.6,0.5,2.6,13.1,30.1,52.0,19 - Corrèze,La Maronne à Argentat-Sur-Dordogne
P163001001,1.853184743,45.010011401,23344.0,La Dordogne,Brivezac,128.6,120.5,5.2,1165.7,17.2,39.2,87.0,182.5,363.9,19 - Corrèze,La Dordogne à Brivezac
P165001001,1.843489027,44.977305079,13915.0,La Dordogne,Altillac,125.2,115.0,12.4,1131.8,19.6,41.1,85.1,174.9,352.7,19 - Corrèze,La Dordogne à Altillac
P211401001,1.724691757,44.988361257,19028.0,La Sourdoire,Chapelle-Aux-Saints,0.9,1.8,0.0,27.1,0.0,0.1,0.3,0.9,3.7,19 - Corrèze,La Sourdoire à Chapelle-Aux-Saints
P300101001,2.007571715,45.629522873,24114.0,La Vézère,Saint-Merd-Les-Oussines,1.4,1.5,0.1,29.3,0.2,0.5,0.9,1.8,4.3,19 - Corrèze,La Vézère à Saint-Merd-Les-Oussines
P301541001,2.00198896,45.600268646,24299.0,rivière la petite vézère,Perols-Sur-Vezere,1.0,1.0,0.0,11.9,0.1,0.3,0.7,1.3,2.9,19 - Corrèze,rivière la petite vézère à Perols-Sur-Vezere
